structure,threads,repeat,total_keys,elapsed_ms,throughput_ops_per_sec,final_size,structure_valid
RBT_SingleThreaded,1,0,1000,0.17,5.88235e+06,1000,1
SkipList_FineGrained,1,0,1000,0.718,1.39276e+06,1000,1
RBT_SingleThreaded,1,1,1000,0.163,6.13497e+06,1000,1
SkipList_FineGrained,1,1,1000,0.596,1.67785e+06,1000,1
RBT_SingleThreaded,1,2,1000,0.175,5.71429e+06,1000,1
SkipList_FineGrained,1,2,1000,0.721,1.38696e+06,1000,1
RBT_SingleThreaded,1,3,1000,0.183,5.46448e+06,1000,1
SkipList_FineGrained,1,3,1000,0.7,1.42857e+06,1000,1
RBT_SingleThreaded,1,4,1000,0.142,7.04225e+06,1000,1
SkipList_FineGrained,1,4,1000,0.543,1.84162e+06,1000,1
RBT_SingleThreaded,2,0,1000,0.181,5.52486e+06,1000,1
SkipList_FineGrained,2,0,1000,0.651,1.5361e+06,1000,1
RBT_SingleThreaded,2,1,1000,0.186,5.37634e+06,1000,1
SkipList_FineGrained,2,1,1000,0.66,1.51515e+06,1000,1
RBT_SingleThreaded,2,2,1000,0.263,3.80228e+06,1000,1
SkipList_FineGrained,2,2,1000,0.82,1.21951e+06,1000,1
RBT_SingleThreaded,2,3,1000,0.162,6.17284e+06,1000,1
SkipList_FineGrained,2,3,1000,0.673,1.48588e+06,1000,1
RBT_SingleThreaded,2,4,1000,0.164,6.09756e+06,1000,1
SkipList_FineGrained,2,4,1000,0.595,1.68067e+06,1000,1
RBT_SingleThreaded,4,0,1000,0.184,5.43478e+06,1000,1
SkipList_FineGrained,4,0,1000,0.645,1.55039e+06,1000,1
RBT_SingleThreaded,4,1,1000,0.198,5.05051e+06,1000,1
SkipList_FineGrained,4,1,1000,0.867,1.1534e+06,1000,1
RBT_SingleThreaded,4,2,1000,0.179,5.58659e+06,1000,1
SkipList_FineGrained,4,2,1000,0.856,1.16822e+06,1000,1
RBT_SingleThreaded,4,3,1000,0.178,5.61798e+06,1000,1
SkipList_FineGrained,4,3,1000,0.72,1.38889e+06,1000,1
RBT_SingleThreaded,4,4,1000,0.162,6.17284e+06,1000,1
SkipList_FineGrained,4,4,1000,0.59,1.69492e+06,1000,1
RBT_SingleThreaded,8,0,1000,0.17,5.88235e+06,1000,1
SkipList_FineGrained,8,0,1000,0.697,1.43472e+06,1000,1
RBT_SingleThreaded,8,1,1000,0.161,6.21118e+06,1000,1
SkipList_FineGrained,8,1,1000,0.705,1.41844e+06,1000,1
RBT_SingleThreaded,8,2,1000,0.164,6.09756e+06,1000,1
SkipList_FineGrained,8,2,1000,0.721,1.38696e+06,1000,1
RBT_SingleThreaded,8,3,1000,0.156,6.41026e+06,1000,1
SkipList_FineGrained,8,3,1000,0.594,1.6835e+06,1000,1
RBT_SingleThreaded,8,4,1000,0.172,5.81395e+06,1000,1
SkipList_FineGrained,8,4,1000,0.619,1.61551e+06,1000,1
RBT_SingleThreaded,16,0,1000,0.168,5.95238e+06,1000,1
SkipList_FineGrained,16,0,1000,0.983,1.01729e+06,1000,1
RBT_SingleThreaded,16,1,1000,0.162,6.17284e+06,1000,1
SkipList_FineGrained,16,1,1000,1.279,781861,1000,1
RBT_SingleThreaded,16,2,1000,0.169,5.91716e+06,1000,1
SkipList_FineGrained,16,2,1000,1.123,890472,1000,1
RBT_SingleThreaded,16,3,1000,0.176,5.68182e+06,1000,1
SkipList_FineGrained,16,3,1000,1.106,904159,1000,1
RBT_SingleThreaded,16,4,1000,0.191,5.2356e+06,1000,1
SkipList_FineGrained,16,4,1000,2.023,494315,1000,1
RBT_SingleThreaded,1,0,10000,1.95,5.12821e+06,10000,1
SkipList_FineGrained,1,0,10000,5.799,1.72444e+06,10000,1
RBT_SingleThreaded,1,1,10000,4.345,2.3015e+06,10000,1
SkipList_FineGrained,1,1,10000,8.248,1.21242e+06,10000,1
RBT_SingleThreaded,1,2,10000,4.745,2.10748e+06,10000,1
SkipList_FineGrained,1,2,10000,5.445,1.83655e+06,10000,1
RBT_SingleThreaded,1,3,10000,1.998,5.00501e+06,10000,1
SkipList_FineGrained,1,3,10000,6.681,1.49678e+06,10000,1
RBT_SingleThreaded,1,4,10000,2.398,4.17014e+06,10000,1
SkipList_FineGrained,1,4,10000,4.897,2.04207e+06,10000,1
RBT_SingleThreaded,2,0,10000,4.367,2.2899e+06,10000,1
SkipList_FineGrained,2,0,10000,3.4,2.94118e+06,10000,1
RBT_SingleThreaded,2,1,10000,2.13,4.69484e+06,10000,1
SkipList_FineGrained,2,1,10000,3.887,2.57268e+06,10000,1
RBT_SingleThreaded,2,2,10000,1.982,5.04541e+06,10000,1
SkipList_FineGrained,2,2,10000,3.145,3.17965e+06,10000,1
RBT_SingleThreaded,2,3,10000,1.649,6.06428e+06,10000,1
SkipList_FineGrained,2,3,10000,3.098,3.22789e+06,10000,1
RBT_SingleThreaded,2,4,10000,1.688,5.92417e+06,10000,1
SkipList_FineGrained,2,4,10000,4.27,2.34192e+06,10000,1
RBT_SingleThreaded,4,0,10000,1.675,5.97015e+06,10000,1
SkipList_FineGrained,4,0,10000,2.146,4.65983e+06,10000,1
RBT_SingleThreaded,4,1,10000,1.794,5.57414e+06,10000,1
SkipList_FineGrained,4,1,10000,2.437,4.10341e+06,10000,1
RBT_SingleThreaded,4,2,10000,2.06,4.85437e+06,10000,1
SkipList_FineGrained,4,2,10000,3.287,3.04229e+06,10000,1
RBT_SingleThreaded,4,3,10000,1.848,5.41126e+06,10000,1
SkipList_FineGrained,4,3,10000,2.275,4.3956e+06,10000,1
RBT_SingleThreaded,4,4,10000,1.95,5.12821e+06,10000,1
